,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,WHO Region
163,Burundi,Africa,11922216,395,,1.0,,304.0,,90.0,,15614.0,Africa
164,Myanmar,Asia,54446389,357,,6.0,,308.0,,43.0,,122290.0,South-EastAsia
165,Mauritius,Africa,1271985,344,,10.0,,334.0,,0.0,,205285.0,Africa
166,Isle of Man,Europe,85078,336,,24.0,,312.0,,0.0,,8627.0,
167,Mongolia,Asia,3283344,293,,,,260.0,,33.0,1.0,38334.0,WesternPacific
168,Eritrea,Africa,3551175,282,,,,225.0,,57.0,,,Africa
169,Guadeloupe,North America,400131,279,,14.0,,179.0,,86.0,,18476.0,
170,Martinique,North America,375235,276,,15.0,,98.0,,163.0,1.0,12227.0,
171,Faeroe Islands,Europe,48882,266,,,,192.0,,74.0,1.0,43045.0,
172,Aruba,North America,106812,263,,3.0,,114.0,,146.0,,14047.0,
173,Cambodia,Asia,16741375,243,,,,210.0,,33.0,1.0,67807.0,WesternPacific
174,Trinidad and Tobago,North America,1399950,210,,8.0,,135.0,,67.0,,9559.0,Americas
175,Cayman Islands,North America,65798,203,,1.0,,202.0,,0.0,,31108.0,
176,Gibraltar,Europe,33690,190,,,,184.0,,6.0,,23063.0,
177,Papua New Guinea,Australia/Oceania,8963009,163,,3.0,,53.0,,107.0,,10808.0,WesternPacific
178,Sint Maarten,North America,42924,160,,16.0,,64.0,,80.0,3.0,1115.0,
179,Bermuda,North America,62254,157,,9.0,,144.0,,4.0,,26352.0,Americas
180,Brunei,Asia,437893,141,,3.0,,138.0,,0.0,,41148.0,
181,Barbados,North America,287411,133,,7.0,,100.0,,26.0,,12233.0,Americas
182,Turks and Caicos,North America,38768,129,,2.0,,39.0,,88.0,3.0,1252.0,
183,Seychelles,Africa,98408,126,,,,124.0,,2.0,,,Africa
184,Monaco,Europe,39270,125,,4.0,,105.0,,16.0,2.0,38209.0,Europe
185,Bhutan,Asia,772443,105,,,,93.0,,12.0,,54589.0,South-EastAsia
186,Antigua and Barbuda,North America,98010,92,,3.0,,76.0,,13.0,1.0,1500.0,Americas
